Domain	Fixed	0.3	0.6	0.9	1.2	1.8	2.4
1	0.373831776	0.389380531	0.392857143	0.458715596	0.414414414	0.375	0.336448598
2	0.342105263	0.32	0.444444444	0.518518519	0.363636364	0.425	0.455696203
3	0.4	0.342105263	0.370860927	0.417721519	0.422360248	0.323943662	0.382165605
4	0.302325581	0.38028169	0.427927928	0.422222222	0.43902439	0.417391304	0.394678492
5	0.518987342	0.486842105	0.526315789	0.567741935	0.5375	0.48447205	0.367088608
6	0.356589147	0.417582418	0.397111913	0.404109589	0.363636364	0.398648649	0.364820847
7	0.230088496	0.355140187	0.348623853	0.311926606	0.341880342	0.293577982	0.293577982
8	0.282485876	0.323699422	0.391304348	0.374331551	0.393258427	0.384180791	0.340425532
9	0.276363636	0.324528302	0.382022472	0.356363636	0.382022472	0.347826087	0.357142857
10	0.213660245	0.227027027	0.234042553	0.236749117	0.245315162	0.25982906	0.216216216
11	0.365384615	0.423076923	0.504672897	0.438596491	0.43902439	0.379310345	0.422764228
12	0.220588235	0.226950355	0.269503546	0.277777778	0.291666667	0.281690141	0.222222222
13	0.25	0.315789474	0.384615385	0.4	0.325	0.24	0.260869565
14	0.309734513	0.354066986	0.36199095	0.392694064	0.366071429	0.374429224	0.385650224
15	0.291970803	0.368794326	0.426666667	0.397435897	0.380952381	0.381578947	0.255319149
16	0.373831776	0.414414414	0.407407407	0.351851852	0.411214953	0.317757009	0.285714286
17	0.181069959	0.249056604	0.237037037	0.261818182	0.246268657	0.220532319	0.245487365
18	0.32748538	0.337349398	0.382022472	0.408839779	0.357541899	0.255813953	0.254545455
19	0.315789474	0.383458647	0.404580153	0.380228137	0.37037037	0.370909091	0.320610687
20	0.231578947	0.284210526	0.290322581	0.288770053	0.299465241	0.31840796	0.3125
21	0.303370787	0.312849162	0.345945946	0.375690608	0.402116402	0.387755102	0.338308458
22	0.350364964	0.455172414	0.465753425	0.477987421	0.44	0.375838926	0.285714286
23	0.369942197	0.366863905	0.362573099	0.369942197	0.364640884	0.271186441	0.255555556
24	0.143884892	0.234375	0.266666667	0.291666667	0.261437908	0.261437908	0.231292517
25	0.305084746	0.346320346	0.380952381	0.398305085	0.394957983	0.420168067	0.393162393
26	0.26	0.2875	0.284536082	0.314516129	0.323770492	0.330677291	0.3203125
27	0.180851064	0.2	0.235294118	0.246305419	0.237113402	0.27	0.24
28	0.377952756	0.44015444	0.457364341	0.455598456	0.485294118	0.453531599	0.401544402
29	0.356589147	0.410646388	0.43956044	0.417582418	0.423357664	0.417266187	0.35862069
30	0.222222222	0.303317536	0.319444444	0.317241379	0.322147651	0.341685649	0.340807175
31	0.263414634	0.292929293	0.257425743	0.298076923	0.272727273	0.235294118	0.276190476
32	0.20657277	0.225882353	0.245862884	0.242424242	0.24	0.236658933	0.211267606
33	0.263736264	0.30952381	0.319526627	0.301675978	0.284023669	0.259887006	0.206896552
34	0.285714286	0.264367816	0.287292818	0.291891892	0.342541436	0.253807107	0.218579235
35	0.281407035	0.354066986	0.339285714	0.380090498	0.387096774	0.349514563	0.359223301
36	0.270833333	0.307359307	0.319148936	0.326530612	0.302277433	0.3187251	0.306772908
37	0.369747899	0.420168067	0.41322314	0.432	0.390243902	0.393162393	0.352941176
38	0.176870748	0.217391304	0.173913043	0.204379562	0.184397163	0.217687075	0.175675676
39	0.296875	0.372881356	0.390243902	0.346456693	0.375	0.310077519	0.196721311
40	0.35	0.417721519	0.423076923	0.429447853	0.421686747	0.390532544	0.380952381
