Domain	Fixed	0.3	0.6	0.9	1.2	1.8	2.4
1	0.311783784	0.301378378	0.257621622	0.214675676	0.192702703	0.161378378	0.146702703
2	0.384358209	0.406597015	0.370447761	0.328208955	0.28719403	0.224925373	0.187343284
3	0.112314607	0.077550562	0.071078652	0.06941573	0.067977528	0.068382022	0.067168539
4	0.332330579	0.35507438	0.316892562	0.272793388	0.234479339	0.183900826	0.15646281
5	0.325448276	0.36	0.299931034	0.265885057	0.236275862	0.198758621	0.179701149
6	0.33592381	0.333447619	0.284609524	0.239219048	0.206914286	0.16487619	0.145238095
7	0.372510204	0.371306122	0.325306122	0.277020408	0.237020408	0.191857143	0.171693878
8	0.329852941	0.345882353	0.313779412	0.277088235	0.249308824	0.204426471	0.178117647
9	0.28208547	0.272	0.245333333	0.223726496	0.202632479	0.17234188	0.149709402
10	0.334933333	0.35936	0.322906667	0.28616	0.25092	0.209466667	0.181986667
11	0.381506173	0.413185185	0.358790123	0.300444444	0.247506173	0.191382716	0.172049383
12	0.288987013	0.31238961	0.268701299	0.227532468	0.19412987	0.155636364	0.136753247
13	0.33952	0.33476	0.25932	0.19348	0.1526	0.12388	0.113
14	0.370616822	0.395757009	0.363401869	0.325233645	0.283327103	0.229364486	0.205327103
15	0.381521127	0.384985915	0.352816901	0.310450704	0.267971831	0.218	0.192619718
16	0.284133333	0.332966667	0.284266667	0.237433333	0.182066667	0.134366667	0.120733333
17	0.423743119	0.382385321	0.330165138	0.285412844	0.252880734	0.209486239	0.187724771
18	0.306459459	0.302972973	0.275783784	0.243756757	0.211054054	0.16727027	0.150567568
19	0.276528736	0.306137931	0.270413793	0.23383908	0.207678161	0.181494253	0.163287356
20	0.242517241	0.280275862	0.235315459	0.196724138	0.164758621	0.136603448	0.119241379
21	0.33232	0.37934	0.33342	0.28574	0.24504	0.19766	0.16986
22	0.31696	0.372	0.32946	0.28962	0.25648	0.21042	0.17896
23	0.303558824	0.346235294	0.293441176	0.235647059	0.192941176	0.1545	0.137970588
24	0.334883117	0.377662338	0.311402597	0.248233766	0.19238961	0.142181818	0.124233766
25	0.257425926	0.337166667	0.293444444	0.255796296	0.224666667	0.189722222	0.164814815
26	0.353489051	0.369678832	0.325240876	0.285240876	0.252642336	0.207153285	0.183459854
27	0.373475728	0.410854369	0.352271845	0.30031068	0.263223301	0.22	0.200427184
28	0.288703704	0.3255	0.280592593	0.235537037	0.204481481	0.165685185	0.147111111
29	0.369	0.374755556	0.341666667	0.289755556	0.252777778	0.2084	0.187311111
30	0.344198582	0.324141844	0.283177305	0.238	0.207560284	0.166438805	0.147766029
31	0.323345794	0.307252336	0.268542056	0.231308411	0.202654206	0.169158879	0.15235514
32	0.329781022	0.328832117	0.298452555	0.265781022	0.240175182	0.206919708	0.187313869
33	0.218186441	0.258067797	0.22759322	0.197440678	0.169677966	0.143033898	0.129305085
34	0.368133333	0.364444444	0.330022222	0.299644444	0.265666667	0.211111111	0.1838
35	0.295481481	0.300592593	0.2712	0.240355556	0.218133333	0.183718519	0.16357037
36	0.323253968	0.393539683	0.353428571	0.306730159	0.266269841	0.215269841	0.186063492
37	0.333791667	0.324291667	0.2980625	0.265479167	0.231104167	0.175916667	0.157958333
38	0.286453782	0.347176471	0.306722689	0.273764706	0.245848739	0.206806723	0.17989916
39	0.3873125	0.35509375	0.31634375	0.27975	0.226625	0.17246875	0.1495625
40	0.333365854	0.30495122	0.262390244	0.224682927	0.190439024	0.151219512	0.129707317
