PF00013 1WVN
PF00018 2O9S
PF00041 1TEN
PF00072 1MVO
PF00076 2X1B
PF00085 1FB0
PF00111 1CZP
PF00168 3F04
PF00169 1UNQ
PF00179 1Z2U
PF00226 2O37
PF00240 2BWF
PF00249 1GUU
PF00254 2PPN
PF00313 3I2Z
PF00327 1BXY
PF00355 1FQT
PF00364 2EVB
PF00381 1PTF
PF00439 3JVL
PF00486 2ZXJ
PF00498 3GQS
PF00542 1CTF
PF00550 1T8K
PF00581 1GN0
PF00582 2Z3V
PF00595 2H3L
PF00691 1OAP
PF00708 3BR8
PF01029 1TZV
PF01035 3GVA
PF01451 1JL3
PF01627 2A0B
PF01833 3MQI
PF02823 1AQT
PF04002 2QLC
PF07679 1U2H
PF07686 2PND
PF08666 1UCS
PF12844 3FYM
