#
# This dataset was taken from Table 1 in the Ollikainen and Kortemme paper [1], doi: 10.1371/journal.pcbi.1003313
#
# [1] PMID:24244128
#
# This dataset was last updated on 2015-04-07.
#
#Pfam ID,Pfam Name,Total # of sequences,PDB ID,Amino acid length,SCOP class
PF00226,DnaJ,19122,2O37,60,a
PF00249,Myb_DNA-binding,9398,1GUU,47,a
PF00439,Bromodomain,4483,3JVL,89,a
PF00486,Trans_reg_C,35180,2ZXJ,77,a
PF00550,PP-binding,28748,1T8K,68,a
PF01029,NusB,5275,1TZV,127,a
PF01035,DNA_binding_1,5230,3GVA,87,a
PF01627,Hpt,7684,2A0B,88,a
PF12844,HTH_19,9622,3FYM,70,a
PF00072,Response_reg,103232,1MVO,111,a/b
PF00085,Thioredoxin,16281,1FB0,104,a/b
PF00581,Rhodanese,19885,1GN0,92,a/b
PF00582,Usp,15546,2Z3V,137,a/b
PF01451,LMWPc,5201,1JL3,130,a/b
PF00013,KH_1,11484,1WVN,63,a+b
PF00076,RRM_1,31837,2X1B,71,a+b
PF00111,Fer2,11941,1CZP,76,a+b
PF00179,UQ_con,6107,1Z2U,138,a+b
PF00240,Ubiquitin,8316,2BWF,69,a+b
PF00254,FKBP_C,11034,2PPN,95,a+b
PF00327,Ribosomal_L30,3324,1BXY,52,a+b
PF00381,PTS-HPr,5246,1PTF,84,a+b
PF00542,Ribosomal_L12,3474,1CTF,68,a+b
PF00691,OmpA,11815,1OAP,96,a+b
PF00708,Acylphosphatase,3057,3BR8,89,a+b
PF04002,RadC,3253,2QLC,123,a+b
PF00018,SH3_1,8993,2O9S,48,b
PF00041,Fn3,26172,1TEN,81,b
PF00168,C2,11697,3F04,87,b
PF00169,PH,8137,1UNQ,103,b
PF00313,CSD,9848,3I2Z,67,b
PF00355,Rieske,9153,1FQT,95,b
PF00364,Biotin_lipoyl,16853,2EVB,68,b
PF00498,FHA,7247,3GQS,67,b
PF00595,PDZ,12568,2H3L,87,b
PF01833,TIG,4814,3MQI,83,b
PF02823,ATP-synt_DE_N,3782,1AQT,80,b
PF07679,I-set,29272,1U2H,91,b
PF07686,v-set,9255,2PND,116,b
PF08666,SAF,3256,1UCS,60,b

